Instancia,Clase,f0,f1,f2,f3,f4,f5,f6,f7
0,2,29.862882055279908,27.950594789062478,28.48995229064582,27.82101890457429,29.9561263443045,29.454850497350506,29.446741943334608,28.456445425919245
1,3,30.665379237077854,28.25762909501951,28.45871429815136,26.843986527080233,28.467284456199927,27.545274309887834,29.66288501127196,29.371986641125257
2,2,29.75414936553687,28.853361755064768,28.651163157899656,29.01008535829974,28.72737058399499,29.434266995130063,28.42086323649523,27.782834939603912
3,3,28.881979478064018,31.280750452177656,16.162853334087686,27.5883671165234,29.23774832334455,30.583848539925157,29.40064299056011,28.744121181156356
4,2,27.950609162596404,29.088523862501997,29.5965455414546,29.338796719462913,33.165106712040796,30.997208150615723,28.386322678876393,28.77229741611646
5,3,28.95939069063503,29.122246642132772,29.16255791497665,29.181905338001194,28.496384143695728,28.769388618416542,29.002169352063312,29.13814826465959
6,2,28.952442284399414,28.782481429727568,30.265430403391736,28.843205966564053,29.095901695525914,29.071730399206672,29.011326049471556,29.045101044528394
7,3,29.0864520029125,29.246327661987184,28.885953971046952,28.85845064417997,27.71301836642285,28.61978055602259,25.19963688897288,29.08918225578683
8,2,29.317287918894312,29.199126639596397,28.981683452930824,28.674716691989712,29.173736656560624,29.99054906924766,27.343782342473467,27.343990716206918
9,3,29.111613362883183,29.095352408747505,28.655686606207183,30.307664304193327,28.81424202196597,28.137662332103393,29.051658746522552,29.055286416686616
10,2,29.366964375786107,28.505461841879455,30.552963947400116,29.31319567724694,30.41210078288814,29.484537602812242,28.40995466689296,28.837482179763608
11,3,29.627461182377964,29.227656460089175,32.417602473450394,29.19082298214445,29.799023887840683,28.938041178876983,29.248941334506714,28.924681453051736
12,2,28.954296493479585,30.110139902258343,29.200033914135723,27.88314203519002,29.41969962042535,31.394212801951376,30.177871074214718,28.98222021425779
13,3,29.069063985352432,29.068045973193925,29.075610151269316,27.929515807536006,29.165444298242484,29.231557999689134,28.50270918488793,28.912182827059866
14,2,26.657563732898776,28.024383485202776,23.546420905263293,28.83849612592048,30.408248036206476,29.977749869137842,32.16437322887968,29.32713771200051
15,3,30.703639800006822,29.109908706399246,28.949741749534414,28.88337282705655,28.965958451925903,29.006924333788163,28.283680872332184,27.587610915149167
16,2,31.572269761617687,28.922432115357665,29.147138446259916,28.88699085807354,29.19524802637234,29.859980336161186,29.00083243474831,27.638850452934275
17,3,29.317299908956446,28.219905241683307,29.272698138240848,29.073226917891642,29.785514031793056,28.80632696594774,29.527009827625626,29.05440436686442
18,2,30.08085145408005,27.691658886338725,28.431486852663554,30.34770488495085,28.424630996489615,29.275745677935376,29.538650670805712,29.446753375056137
19,3,29.170059588358477,28.668247982406882,28.781627504339507,28.945641006085097,29.3607655661484,30.18544441775929,30.220233122667945,29.86333593113192
20,2,29.27751132931804,29.772570990870783,29.082661707652036,29.35352759142237,29.72171049080075,28.766544166688085,27.888411618223053,28.838981328522937
21,3,29.76695229333475,30.709751656236325,28.828957835831634,28.661408422909,21.56502737689944,28.68059360478519,30.352645490587346,29.693971361424047
22,2,28.456243978872614,29.035887224513544,28.341933490479253,31.027747403652064,29.456959990007103,25.673742106736537,29.053992410050515,27.9486651344534
23,3,29.44499470119421,29.166407006758153,27.8775630327006,26.105364806451565,28.924295267416348,29.38453301541075,28.90932511978084,28.676811220812745
24,2,28.00130374279302,29.522926368978585,26.095201932514428,30.609936729339157,29.13984251057801,27.77193357528682,28.649148507302577,28.67790485558365
25,3,27.90113865563419,27.88577609871618,28.912751478785303,28.69211720408422,27.359559745424654,28.756225888598113,32.93863222830642,28.301804421250576
26,2,28.503720773065645,27.247885760138576,28.983943590481726,28.883064479890805,32.81273120479702,29.38170213875286,28.870216938680198,27.66343046185422
27,3,26.81028168692249,28.098255082650844,26.925387003756416,25.219657341189677,23.44868277111903,27.968830368484507,29.351406453183237,28.894840260355895
28,2,28.38480778409085,29.378928104840607,17.928050065002793,27.61109364479739,29.028306286557886,28.767731724716974,27.619917198333198,26.139217159369846
29,3,29.519081541315476,29.28177772313449,30.563542976957322,31.990750174856604,28.860266646376797,28.948681651183907,29.109754643928348,28.800769615247564
30,2,28.959377136617963,28.816068414568125,28.859979764535815,28.578235503531808,27.954962856283753,28.230353697273397,29.151020609639982,29.13364564341952
31,3,28.98324693711769,29.318001934846496,29.146836321022818,24.128582983805657,28.972221036551005,29.28138536729733,29.134558281144145,29.167035167989145
32,2,29.188363083294547,29.90866936778837,26.90111252598517,28.64507814155766,29.84233820686597,30.04560174849354,29.745854591299018,29.31923663990513
33,3,20.25765985504981,29.327840163448645,28.962164638316196,28.852935952494626,26.863676001866974,27.939161587461946,29.15337855055176,28.987943815954818
34,2,28.85513657096958,28.42242264341961,27.941052985726024,28.49621321936892,30.319374822694538,31.075577007745782,28.716374807049434,30.008386211247785
35,3,28.875391385380542,27.59302657674937,29.73764270741312,19.880753584244694,25.3857763247912,28.693312812214167,29.290985818305817,34.20762956235091
36,2,30.36589963777862,28.900647890562322,29.542136459147514,29.72941392061461,29.090437885880153,29.129468695582222,28.940078366774184,28.860221704107243
37,3,29.71632497533277,27.079363727242924,26.128027795772365,28.811734043425407,26.771879789520398,30.24866151163117,29.946288175185856,28.132173669700318
38,2,29.101023224465184,28.5716625927911,28.89936179696856,26.253566168735777,29.200226064939873,31.31485437481649,29.693648592768916,29.033079916818632
39,3,30.27250075625541,27.02430659760648,28.27228843843776,28.264593931267868,25.042134508973714,26.980166360552143,28.62343292833037,28.66312399574137
